,determiners,binding,anaphor_agreement,irregular_forms,ellipsis,argument_structure_transitive,scrambling,passives,argument_structure_ditransitive,relative_clauses,quantifiers,nominalization,npi_licensing,suspended_affixation,subject_agreement,island_effects
determiners,870.0,35.0,35.0,67.0,6.0,48.0,28.0,9.0,32.0,5.0,24.0,10.0,19.0,56.0,31.0,15.0
binding,35.0,870.0,27.0,17.0,12.0,52.0,39.0,11.0,29.0,16.0,18.0,22.0,17.0,43.0,63.0,15.0
anaphor_agreement,35.0,27.0,870.0,37.0,22.0,95.0,81.0,1.0,70.0,25.0,28.0,86.0,18.0,117.0,136.0,6.0
irregular_forms,67.0,17.0,37.0,870.0,5.0,37.0,34.0,25.0,14.0,10.0,31.0,27.0,10.0,41.0,45.0,10.0
ellipsis,6.0,12.0,22.0,5.0,870.0,58.0,70.0,6.0,24.0,47.0,28.0,39.0,18.0,42.0,33.0,6.0
argument_structure_transitive,48.0,52.0,95.0,37.0,58.0,870.0,165.0,6.0,118.0,70.0,49.0,80.0,51.0,187.0,189.0,12.0
scrambling,28.0,39.0,81.0,34.0,70.0,165.0,870.0,2.0,110.0,70.0,54.0,96.0,62.0,156.0,119.0,6.0
passives,9.0,11.0,1.0,25.0,6.0,6.0,2.0,870.0,3.0,0.0,78.0,4.0,23.0,2.0,0.0,19.0
argument_structure_ditransitive,32.0,29.0,70.0,14.0,24.0,118.0,110.0,3.0,870.0,36.0,37.0,56.0,50.0,88.0,86.0,7.0
relative_clauses,5.0,16.0,25.0,10.0,47.0,70.0,70.0,0.0,36.0,870.0,32.0,49.0,39.0,37.0,45.0,6.0
quantifiers,24.0,18.0,28.0,31.0,28.0,49.0,54.0,78.0,37.0,32.0,870.0,45.0,113.0,46.0,28.0,18.0
nominalization,10.0,22.0,86.0,27.0,39.0,80.0,96.0,4.0,56.0,49.0,45.0,870.0,40.0,60.0,85.0,4.0
npi_licensing,19.0,17.0,18.0,10.0,18.0,51.0,62.0,23.0,50.0,39.0,113.0,40.0,870.0,46.0,40.0,9.0
suspended_affixation,56.0,43.0,117.0,41.0,42.0,187.0,156.0,2.0,88.0,37.0,46.0,60.0,46.0,870.0,170.0,8.0
subject_agreement,31.0,63.0,136.0,45.0,33.0,189.0,119.0,0.0,86.0,45.0,28.0,85.0,40.0,170.0,870.0,4.0
island_effects,15.0,15.0,6.0,10.0,6.0,12.0,6.0,19.0,7.0,6.0,18.0,4.0,9.0,8.0,4.0,870.0
